_id,rescent_price,release_price,OG,Retro,SP,QS,SB,SE,model_no,last_price,max_price,min_price,benefit
Jordan 1 Low Vintage Grey,200000,129000,0,0,0,0,0,0,553558-053,228000.0,228000.0,206000.0,176.74418604651163
Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,1555000,189000,1,1,1,0,0,0,DM7866-140,1789000.0,4000000.0,1146000.0,946.5608465608465
Jordan 1 Retro High OG Black Mocha,702000,199000,1,1,0,0,0,0,555088-105,825000.0,897000.0,304000.0,414.57286432160805
Jordan 4 Retro White and Black,312000,249000,0,1,0,0,0,0,DH6927-111,309000.0,388000.0,272000.0,124.09638554216869
Jordan 1 Retro High OG Bleached Coral,244000,209000,1,1,0,0,0,0,555088-108,294000.0,499000.0,198000.0,140.66985645933013
Jordan 1 Low Golf Wolf Grey,336000,179000,0,0,0,0,0,0,DD9315-002,395000.0,600000.0,252000.0,220.6703910614525
Jordan 1 Mid Light Smoke Grey Anthracite,215000,149000,0,0,0,0,0,0,554724-078,210000.0,420000.0,170000.0,140.93959731543623
(W) Jordan 1 Elevate Low SE White and Wolf Grey,265000,159000,0,0,0,0,0,1,DH7004-100,260000.0,397000.0,211000.0,163.52201257861637
Jordan 1 Retro High OG University Blue,387000,199000,1,1,0,0,0,0,555088-134,780000.0,950000.0,290000.0,391.9597989949749
Jordan 1 Low OG Starfish,372000,159000,1,0,0,0,0,0,CZ0790-801,385000.0,539000.0,250000.0,242.13836477987422
Jordan 1 Low Golf Chicago,352000,179000,0,0,0,0,0,0,DD9315-600,450000.0,800000.0,331000.0,251.39664804469274
(W) Jordan 1 Low Black University Blue,201000,129000,0,0,0,0,0,0,DC0774-041,259000.0,334000.0,200000.0,200.7751937984496
(W) Jordan 1 Low White Wolf Grey,345000,119000,0,0,0,0,0,0,DC0774-105,356000.0,644000.0,30000.0,299.15966386554624
(W) Jordan 1 Low White Dark Marina Blue,219000,129000,0,0,0,0,0,0,DC0774-114,192000.0,380000.0,179000.0,148.8372093023256
Jordan 1 Low Golf Starfish,184000,179000,0,0,0,0,0,0,DD9315-800,319000.0,353000.0,177000.0,178.2122905027933
(W) Jordan 1 Mid Sail and Worn Blue,202000,149000,0,0,0,0,0,0,BQ6472-141,194000.0,330000.0,170000.0,130.2013422818792
(W) Jordan 1 Mid Wolf Grey,360000,139000,0,0,0,0,0,0,BQ6472-105,290000.0,518000.0,190000.0,208.63309352517985
Jordan 1 Low Golf Triple White,179000,179000,0,0,0,0,0,0,DD9315-101,330000.0,400000.0,170000.0,184.35754189944134
Jordan 1 Low Golf White and University Blue,249000,179000,0,0,0,0,0,0,DD9315-100,290000.0,577000.0,200000.0,162.01117318435755
Jordan 1 x A Ma Maniere Retro High OG SP Sail and Burgundy,295000,239000,1,1,1,0,0,0,DO7097-100,260000.0,604000.0,250000.0,108.78661087866108
Jordan 1 Retro High OG Pollen,160000,199000,1,1,0,0,0,0,555088-701,153000.0,380000.0,148000.0,76.88442211055276
